	Day	Date	Time	Place	Title	Rating	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
0					Lost Highway		638.0	en	1997-01-15	15000000.0		134.0	['Drama', 'Thriller', 'Mystery']	David Lynch	
1					Orphee		4558.0	fr	1950-09-29	0.0	0.0	95.0	['Drama', 'Fantasy', 'Romance']	Jean Cocteau	
2					The First Night (La Premiere Nuit)			nan	nan					nan	
3					2007: A Space Odissey			nan	nan					nan	
4					Spacy, 1980-81			nan	nan					nan	
5					The man who could not see far enough		328727.0	en	nan	0.0	0.0	32.0	['Documentary']	Peter Rose	
6					Wormholes			nan	nan					nan	
7					A Sprint Down Fifty Flights			nan	nan					nan	
8					Tadpole		39141.0	en	2002-11-01	150000.0	2891288.0	78.0	['Comedy', 'Drama', 'Romance']	Gary Winick	
9					Walkabout		36040.0	en	1971-07-01	0.0	0.0	95.0	['Adventure', 'Drama']	Nicolas Roeg	
10					The Pier (La Jetee)			nan	nan					nan	
11					Lovely		122783.0	en	2012-03-30	0.0	0.0	148.0	[]	Jaya B	
12					Alone: Life Wastes Andy Hardy		93468.0	en	1998-01-01	0.0	0.0	15.0	['Drama', 'Music']	Martin Arnold	
13					The journey		76714.0	en	1959-02-19	0.0	0.0	126.0	['Drama', 'Romance']	nan	
14					WWMC			nan	nan					nan	
15					A Trip to the Moon (le voyage dans la lune)			nan	nan					nan	
16					Continent to Continent 		269028.0	zh	1971-01-01	0.0		98.0	['Action']	Ting Wu Hsiung	
17					Russian Ark		16646.0	ru	2002-05-22	0.0		99.0	['Mystery', 'Drama', 'Fantasy', 'History']	Alexander Sokurov	
18					Raw Nerve		115201.0	en	1991-06-28	0.0	0.0	91.0	['Action', 'Thriller']	David A. Prior	
19					The Lady and the Duke		2894.0	fr	2001-09-07	0.0	0.0	129.0	['War', 'Drama', 'History']	Éric Rohmer	
20					The Gleaners and I		84026.0	en	2002-12-18	0.0	0.0	63.0	[]	Agnès Varda	
21					Under the Skin		97370.0	en	2014-03-14	13300000.0	5380251.0	108.0	['Thriller', 'Science Fiction', 'Drama']	Jonathan Glazer	
22					Cosmic Ray		132364.0	en	1962-01-01	0.0	0.0	4.0	['History']	Bruce Conner	
23					Outer Space		110650.0	en	1999-01-01	0.0	0.0	10.0	['Horror']	Peter Tscherkassky	
24					Free radicals		48598.0	de	2003-01-01	0.0	0.0	120.0	['Comedy', 'Drama', 'Romance']	Barbara Albert	
25					Powers of ten		53223.0	en	1977-01-01	0.0	0.0	9.0	['Documentary']	Ray Eames	
26					Teenage Babylon		206309.0	en	nan	0.0	0.0	14.0	['Music', 'Drama']	Graeme Wood	
27					4 Vertigo		354269.0	en	2000-08-13	0.0	0.0	9.0	[]	Les LeVeque	
28					Cinema		463415.0	ka	1977-06-25	0.0	0.0	0.0	[]	Liana Eliava	
29					Eastern Front			nan	nan					nan	
30					Dark City		2666.0	en	1998-02-27	27000000.0	27200316.0	100.0	['Mystery', 'Science Fiction']	Alex Proyas	
31					Karma:120 Techniques			nan	nan					nan	
32					Amateur Developer's Handbook			nan	nan					nan	
33					Curve		347754.0	en	2015-08-31	0.0	0.0	86.0	['Horror', 'Thriller']	Iain Softley	
34					World Watch/SBS ID			nan	nan					nan	
35					Buckethead		188467.0	en	nan	0.0	0.0	90.0	['Music']	nan	
36					The Buoy Archives : Meditation			nan	nan					nan	
37					Breaking it Slowly: George			nan	nan					nan	
38					You and Me		146428.0	en	1971-10-25	0.0	0.0		[]	Larisa Shepitko	
39					Broken		109584.0	en	2012-08-22	0.0	0.0	91.0	['Drama']	Rufus Norris	
40					The Buoy Archives 11: Favourites			nan	nan					nan	
41					Time Slice			nan	nan					nan	
42					Dad's Clock			nan	nan					nan	
43					Ectoplasmic Baby Fat Provider			nan	nan					nan	
44					Purgatory		23356.0	en	1999-01-10	0.0	0.0	94.0	['Fantasy', 'Action', 'Western', 'Science Fiction']	Uli Edel	
45					Luv Your Life: Silverchair			nan	nan					nan	
46					Big Can Can		193346.0	en	2013-07-03		0.0	100.0	['Documentary']	Olivia Mori	
47					Windows		83857.0	en	1980-01-18	0.0	0.0	96.0	['Horror', 'Drama', 'Thriller']	Gordon Willis	
48					Remind Me		158144.0	de	2002-05-31	0.0	0.0	90.0	['Thriller', 'Drama']	Christian Petzold	
49					Prelude		215067.0	es	2013-05-24	0.0	0.0	71.0	['Drama']	Eduardo Lucatero	
50					Untitled		364163.0	en	1975-01-01	0.0	0.0	6.0	[]	Juan José Mugni	
51					Spot		278446.0	es		0.0	0.0		[]	Cesar Espada	
52					Freestyle Disco			nan	nan					nan	
53					North Star		200383.0	en	1996-01-03	0.0	0.0	90.0	['Action', 'Adventure', 'Drama', 'Western']	Nils Gaup	
54					Pulk/Pull Revolving Doors and like Spinning Plates			nan	nan					nan	
55					Brazil Inspired			nan	nan					nan	
56					Anamorph		14000.0	en	2007-09-21	0.0	0.0	107.0	['Crime', 'Thriller']	Henry Miller	
57					Rippin Kittin: Golden Boy w/Miss Kittin			nan	nan					nan	
58					Tempovision: Etienne de Crecy			nan	nan					nan	
59					The Test: Chemical Brothers			nan	nan					nan	
60					Where's Your Head At: Basement Jaxx			nan	nan					nan	
61					Clubbed to Death: Rob Dougan			nan	nan					nan	
62					My Culture: 1 Giant Leap			nan	nan					nan	
63					Poor Leno: Royksopp			nan	nan					nan	
64					Eple: Royksopp			nan	nan					nan	
65					Six Days: DJ Shadow			nan	nan					nan	
66					Eye For An Eye: UNKLE			nan	nan					nan	
67					Extra Track II: Bullfrog			nan	nan					nan	
68					Infromation Contraband: Money Mark			nan	nan					nan	
69					Destiny: Zero 7			nan	nan					nan	
70					Star Guitar: Chemical Brothers			nan	nan					nan	
71					Hayling: FC Kahuna			nan	nan					nan	
72					Pagan poetry: Biork			nan	nan					nan	
73					How does it makes your feel: Air			nan	nan					nan	
74					Hurt		26293.0	en	2009-11-10	0.0	0.0	96.0	['Drama', 'Mystery', 'Thriller']	Barbara Stepansky	
75					So Many Women, So little Hair			nan	nan					nan	
76					Black Ice		353530.0	ru	nan	0.0	0.0	69.0	[]	Mikhail Brashinsky	
77					Perception		170085.0	en	2005-01-01	0.0	0.0	101.0	['Drama']	Irving Schwartz	
78					Tsak Tsak		122872.0	en	2001-10-24	0.0	0.0	2.0	[]	Andrey Paounov	
79					The Subconscious Art of Graffiti Removal		67366.0	en	2002-01-01	0.0		17.0	[]	Matt McCormick	
80					Terminal Bar		112274.0	es	2003-01-01	0.0	0.0	23.0	[]	Stefan Nadelman	
81					In The Mood for Love		843.0	cn	2000-05-22	0.0	12854953.0	98.0	['Drama', 'Romance']	Wong Kar-wai	
82					Necrology		111161.0	es	1971-01-01	0.0	0.0	12.0	[]	Standish Lawder	
83					Reverse Angle (Ein Brief Aus New York)		345186.0	en	1982-09-15	0.0	0.0	17.0	[]	Wim Wenders	
84					NY, NY, A Day in New York			nan	nan					nan	
85					Rain (Regen)		15436.0	fr	2008-09-17	0.0	0.0	98.0	['Comedy']	Agnès Jaoui	
86					All My Life		173539.0	en	2008-06-21	10000.0	0.0	120.0	[]	Maher Sabry	
87					London to Brighton in Four Minutes		147601.0	en	1952-12-31	0.0	0.0	4.0	['Documentary']	British Broadcasting Corporation (BBC)	
88					Ten Tiny Love Stories		80199.0	en	2002-01-01	0.0	0.0	96.0	['Drama', 'Romance']	Rodrigo García	
89					Tape		23949.0	en	2001-01-26	100000.0		86.0	['Drama']	Richard Linklater	
90					Women in Film		132084.0	en	2001-01-24	0.0	0.0	89.0	['Drama']	nan	
91					Final		21176.0	en	2001-06-08	0.0	0.0	111.0	['Drama', 'Science Fiction', 'Thriller']	Campbell Scott	
92					Chelsea Walls		35694.0	en	2002-04-19	0.0	0.0	109.0	['Drama']	Ethan Hawke	
93					The Double Life of Veronique		1600.0	fr	1991-05-15	0.0	1999955.0	97.0	['Drama', 'Thriller']	Krzysztof Kieślowski	
94					Buried in Light		260397.0	en	nan	0.0	0.0	61.0	[]	Jem Cohen	
95					This is a story of New York			nan	nan					nan	
96					The Lion King		8587.0	en	1994-06-23	45000000.0	788241776.0	89.0	['Family', 'Animation', 'Drama']	Rob Minkoff	
97					The Conformist		475144.0	en	2017-09-11	0.0	0.0	0.0	[]	Shangjun Cai	
98					The Blair Witch Project		2667.0	en	1999-07-14	60000.0	248000000.0	81.0	['Horror', 'Mystery']	Eduardo Sánchez	
99					The Last Broadcast		34288.0	en	1998-10-23	0.0	0.0	86.0	['Horror', 'Mystery']	Lance Weiler	
100					American Movie: The Making of Northwestern		14242.0	en	1999-11-05	0.0	0.0	107.0	['Documentary']	Chris Smith	
101					The Goddess of 1967		46226.0	en	2000-09-08	0.0	0.0	119.0	['Romance', 'Drama', 'Comedy']	nan	
102					Farawell My Concubine			nan	nan					nan	
103					Kira's Reason: A Love Story		15842.0	da	2001-10-26	0.0	0.0	93.0	['Drama', 'Romance']	Ole Christian Madsen	
104					Truly Human		56314.0	da	2001-04-27	0.0	0.0	94.0	['Foreign', 'Drama', 'Romance']	Åke Sandgren	
105					Mifune		139.0	da	1999-03-12	0.0	0.0	98.0	['Romance', 'Comedy', 'Drama']	Søren Kragh-Jacobsen	
106					The Idiots		452.0	da	1998-04-28	2500000.0	7235.0	117.0	['Drama', 'Comedy']	Lars von Trier	
107					Italian for Beginners		112.0	da	2000-12-07	0.0	0.0	112.0	['Comedy', 'Drama', 'Romance']	Lone Scherfig	
108					The Celebration		309.0	da	1998-05-20	1300000.0	0.0	105.0	['Drama']	Thomas Vinterberg	
109					Run Lola Run		104.0	nan	nan		7267585.0	81.0	['Action', 'Drama', 'Thriller']	Tom Tykwer	
110					Valette			nan	nan					nan	
111					Living with Happiness		123746.0	en	nan	0.0	0.0	6.0	[]	Sarah Watt	
112					Lacy		312391.0	en	2004-01-01		0.0	0.0	[]	nan	
113					Roundabout		400851.0	tl	2006-07-18	0.0	0.0	0.0	[]	Ron Bryant	
114					Little Blue		321974.0	en	2015-09-09	0.0	0.0	106.0	['Documentary', 'Music']	Amy Berg	
115					The End and Back Again			nan	nan					nan	
116					The Men's Room			en	1991-09-25	0.0	0.0	0.0		nan	
117					The Birthday		415527.0	pl	1980-09-23	0.0	0.0	96.0	['Drama', 'War']	Czeslaw Petelski	
118					Avalanche		166680.0	en	1978-09-29	6500000.0	0.0	94.0	['Action', 'Adventure', 'Drama']	Lewis Teague	
119					Blow		4133.0	en	2001-04-04	53000000.0	83282296.0	124.0	['Crime', 'Drama']	Ted Demme	
120					Captain Thunderbolt		344714.0	en	1953-01-01	0.0	0.0	69.0	['Action']	Cecil Holmes	
121					Stringybark Massacre			nan	nan					nan	
122					Ned Kelly - Outlaw		38978.0	en	1970-07-01	0.0	0.0	99.0	['Drama', 'Action', 'Western']	Tony Richardson	
123					Ned Kelly		10544.0	en	2003-03-22	0.0	6585516.0	110.0	['Action', 'Adventure', 'Drama', 'History']	Gregor Jordan	
124					A Stone in the Bush			nan	nan					nan	
125					Mad Dog Morgan		60269.0	en	1976-07-09	0.0	0.0	102.0	['Action', 'Crime', 'Drama', 'Western']	Philippe Mora	
126					The Glenrowan Affair		344718.0	en	1951-08-17	0.0	0.0	70.0	['Western', 'Action']	Rupert Kathner	
127					Reckless Kelly		44664.0	en	1994-05-04	0.0	0.0	103.0	['Comedy']	Yahoo Serious	
128					Robbery Under Arms		269519.0	en	1957-01-10	0.0	0.0	96.0	['Drama', 'Western']	Jack Lee	
129					Bush Westerns?: The Lost Genre			nan	nan					nan	
130					This Film is a Dog			nan	nan					nan	
131					Not on the Road			nan	nan					nan	
132					Boomerang		11066.0	en	1992-06-30	40000000.0	70100000.0	117.0	['Comedy', 'Romance']	Reginald Hudlin	
133					I Want You		35113.0	en	1998-02-15	0.0	0.0	87.0	['Thriller', 'Crime', 'Drama', 'Music', 'Romance']	Michael Winterbottom	
134					Lamb		324284.0	en	2016-01-08	0.0	0.0	93.0	['Drama']	Ross Partridge	
135					Tongue Tied		324609.0	en	2014-05-08	0.0	0.0	2.0	[]	Quentin Jones	
136					Noise		15661.0	en	2008-05-09	0.0		92.0	['Comedy', 'Drama', 'Thriller']	Henry Bean	
137					Chopper		9519.0	en	2000-06-21	0.0	236185.0	94.0	['Crime', 'Drama', 'Thriller']	Andrew Dominik	
138					A Margherita With Hot Salami			nan	nan					nan	
139					A Matter of Life		392593.0	nan	1971-04-11		0.0	0.0	[]	André Théberge	
140					Deadline		25073.0	en	2009-01-01	0.0	0.0	89.0	['Drama', 'Horror', 'Thriller']	Sean McConville	
141					Playin' Hard to Get			nan	nan					nan	
142					The Island		1635.0	en	2005-07-20	126000000.0	162949164.0	136.0	['Action', 'Thriller', 'Science Fiction', 'Adventure']	Michael Bay	
143					Swinger		412013.0	da	2016-09-22	0.0	0.0	96.0	['Romance', 'Comedy']	Mikkel Munch-Fals	
144					Tokyo Drifter		45706.0	ja	1966-04-10	0.0	0.0	83.0	['Drama', 'Action', 'Crime']	Seijun Suzuki	
145					The Good, The Bad and The Ugly		429.0	it	1966-12-23	1200000.0	6000000.0	161.0	['Western']	Sergio Leone	
146					Story of a Prostitute		39506.0	ja	1965-02-28	0.0	0.0	96.0	['Drama', 'Romance', 'War']	Seijun Suzuki	
147					Deep Red - The Hatchet Murders		20126.0	it	1975-03-07	0.0	0.0	126.0	['Horror', 'Mystery', 'Thriller']	Dario Argento	
148					The Bird with the Crystal Plumage		20345.0	it	1970-02-19	500000.0	0.0	98.0	['Horror', 'Mystery', 'Thriller']	Dario Argento	
149					Once Upon a Time in the West		335.0	it	nan	5000000.0	5321508.0	175.0	['Western']	Sergio Leone	
150					Wilde		11365.0	en	1997-09-01	0.0	0.0	118.0	['Drama', 'History']	Brian Gilbert	
151					Gypsy 83		33343.0	en	2001-01-01	0.0	0.0	94.0	['Drama']	Todd Stephens	
152					Queeries 4			nan	nan					nan	
153					Queeries 3 (Digital Diaries)			nan	nan					nan	
154					Queeries 2			nan	nan					nan	
155					Queeries 1			nan	nan					nan	
156					Cocktails: Boys' Shorts			nan	nan					nan	
157					Sugar Sweet		218680.0	ja	nan	0.0	0.0	67.0	['Comedy']	Desiree Lim	
158					Happy Birthday		406625.0	en	2016-08-15	0.0	0.0	93.0	['Horror', 'Thriller']	Casey Tebo	
159					Notorious CHO		57946.0	en	2002-06-29	0.0	0.0	95.0	['Comedy']	Lorene Machado	
160					Hammer 1		152951.0	en		0.0	0.0	0.0	[]	nan	
161					The Importance of Being Earnest		9026.0	en	2002-05-17	0.0	0.0	97.0	['Comedy', 'Drama', 'History', 'Romance']	nan	
162					Wilde 		11365.0	en	1997-09-01	0.0	0.0	118.0	['Drama', 'History']	Brian Gilbert	
163					Gosford Park		5279.0	en	nan	19800000.0	87754044.0	137.0	['Drama', 'Mystery', 'Thriller']	Robert Altman	
164					Queer as Fuck			nan	nan					nan	
165					Days		19913.0	en	2009-07-17	7500000.0	60722734.0	95.0	['Comedy', 'Drama', 'Romance']	Marc Webb	
166					Sir, Just a Normal Guy			nan	nan					nan	
167					Mango Souffle		288932.0	en	2002-02-28	0.0	0.0	0.0	[]	nan	
168					The Trip		63578.0	en	2010-09-01	0.0		107.0	['Comedy', 'Drama']	Michael Winterbottom	
169					Hammer 2		391283.0	en	2014-07-31	0.0	0.0	0.0	[]	nan	
170					Queeries 6			nan	nan					nan	
171					Queeries 5			nan	nan					nan	
172					Last Orders		14778.0	en	nan	0.0	0.0	109.0	['Comedy', 'Drama']	Fred Schepisi	
173					Spider and Rose		249371.0	en	1994-09-14	0.0	0.0	94.0	[]	Bill Bennett	
174					Hammer 3		232093.0	nan	2013-10-30	0.0	0.0	122.0	['Music']	nan	
175					Monsoon Wedding		480.0	hi	nan	0.0	0.0	114.0	['Comedy', 'Drama', 'Romance']	Mira Nair	
