	Date	Day	IMDB	Place	Rating	Time	Title
0	2002/11/17	Sun 				16:30	Lost Highway
1	2002/11/17	Sun				14:00	Orphee
2	2002/11/17	Sun			Unclassified 18+	14:00	The First Night (La Premiere Nuit)
3	2002/11/19	Tue				18:30	Lost Highway
4	2002/11/24	Sun			M	16:30	2007: A Space Odissey
5	2002/11/24	Sun			Unclassified 18+	14:00	Spacy, 1980-81
6	2002/11/24	Sun			Unclassified 18+	14:00	The man who could not see far enough
7	2002/11/24	Sun			Unclassified 18+	14:00	Wormholes
8	2002/11/24	Sun			Unclassified 18+	14:00	A Sprint Down Fifty Flights
9	2002/11/26	Tue			M	18:30	2007: A Space Odissey
10	2002/12/01	Sun 			MA	13:00	Tadpole
11	2002/12/01	Sun			Unclassified 18+	16:30	Walkabout
12	2002/12/01	Sun			Unclassified 18+	14:00	The Pier (La Jetee)
13	2002/12/01	Sun			Unclassified 18+	14:00	Lovely
14	2002/12/01	Sun			Unclassified 18+	14:00	Alone: Life Wastes Andy Hardy
15	2002/12/01	Sun			Unclassified 18+	14:00	The journey
16	2002/12/01	Sun			Unclassified 18+	14:00	WWMC
17	2002/12/01	Sun			Unclassified 18+	14:00	A Trip to the Moon (le voyage dans la lune)
18	2002/12/03	Tue			Unclassified 18+	18:30	Walkabout
19	2002/12/04	Wed				19:00	Continent to Continent 
20	2002/12/05	Thu				19:45	Russian Ark
21	2002/12/05	Tue				19:30	Raw Nerve
22	2002/12/06	Fri				21:00	The Lady and the Duke
23	2002/12/06	Fri				19:00	Russian Ark
24	2002/12/07	Sat				21:00	The Lady and the Duke
25	2002/12/07	Sat				19:00	The Gleaners and I
26	2002/12/08	Sun				21:00	The Lady and the Duke
27	2002/12/08	Sun				19:00	Russian Ark
28	2002/12/08	Sun			R	16:30	Under the Skin
29	2002/12/08	Sun			Unclassified 18+	14:00	Cosmic Ray
30	2002/12/08	Sun			Unclassified 18+	14:00	Outer Space
31	2002/12/08	Sun			Unclassified 18+	14:00	Free radicals
32	2002/12/08	Sun			Unclassified 18+	14:00	Powers of ten
33	2002/12/08	Sun			Unclassified 18+	14:00	Teenage Babylon
34	2002/12/08	Sun			Unclassified 18+	14:00	4 Vertigo
35	2002/12/08	Sun			Unclassified 18+	14:00	Cinema
36	2002/12/10	Tue			R	18:30	Under the Skin
37	2002/12/11	Wed				19:00	Eastern Front
38	2002/12/12	Sun			M	16:30	Dark City
39	2002/12/12	Thu			Unclassified 18+	20:30	Karma:120 Techniques
40	2002/12/12	Thu			Unclassified 18+	20:30	Amateur Developer's Handbook
41	2002/12/12	Thu			Unclassified 18+	20:30	Curve
42	2002/12/12	Thu			Unclassified 18+	20:30	World Watch/SBS ID
43	2002/12/12	Thu			Unclassified 18+	20:30	Buckethead
44	2002/12/12	Thu			Unclassified 18+	20:30	The Buoy Archives : Meditation
45	2002/12/12	Thu			Unclassified 18+	20:30	Breaking it Slowly: George
46	2002/12/12	Thu			Unclassified 18+	20:30	You and Me
47	2002/12/12	Thu			Unclassified 18+	20:30	Broken
48	2002/12/12	Thu			Unclassified 18+	20:30	The Buoy Archives 11: Favourites
49	2002/12/12	Thu			Unclassified 18+	20:30	Time Slice
50	2002/12/12	Thu			Unclassified 18+	20:30	Dad's Clock
51	2002/12/12	Thu			Unclassified 18+	20:30	Ectoplasmic Baby Fat Provider
52	2002/12/12	Thu			Unclassified 18+	20:30	Purgatory
53	2002/12/12	Thu			Unclassified 18+	20:30	Luv Your Life: Silverchair
54	2002/12/12	Thu			Unclassified 18+	20:30	Big Can Can
55	2002/12/12	Thu			Unclassified 18+	19:00	Windows
56	2002/12/12	Thu			Unclassified 18+	19:00	Remind Me
57	2002/12/12	Thu			Unclassified 18+	19:00	Prelude
58	2002/12/12	Thu			Unclassified 18+	19:00	Untitled
59	2002/12/12	Thu			Unclassified 18+	19:00	Spot
60	2002/12/12	Thu			Unclassified 18+	19:00	Freestyle Disco
61	2002/12/12	Thu			Unclassified 18+	19:00	North Star
62	2002/12/12	Thu			Unclassified 18+	19:00	Pulk/Pull Revolving Doors and like Spinning Plates
63	2002/12/12	Thu			Unclassified 18+	19:00	Brazil Inspired
64	2002/12/12	Thu			Unclassified 18+	19:00	Anamorph
65	2002/12/13	Fri			Unclassified 18+	20:30	Karma:120 Techniques
66	2002/12/13	Fri			Unclassified 18+	20:30	Amateur Developer's Handbook
67	2002/12/13	Fri			Unclassified 18+	20:30	Curve
68	2002/12/13	Fri			Unclassified 18+	20:30	World Watch/SBS ID
69	2002/12/13	Fri			Unclassified 18+	20:30	Buckethead
70	2002/12/13	Fri			Unclassified 18+	20:30	The Buoy Archives : Meditation
71	2002/12/13	Fri			Unclassified 18+	20:30	Breaking it Slowly: George
72	2002/12/13	Fri			Unclassified 18+	20:30	You and Me
73	2002/12/13	Fri			Unclassified 18+	20:30	Broken
74	2002/12/13	Fri			Unclassified 18+	20:30	The Buoy Archives 11: Favourites
75	2002/12/13	Fri			Unclassified 18+	20:30	Time Slice
76	2002/12/13	Fri			Unclassified 18+	20:30	Dad's Clock
77	2002/12/13	Fri			Unclassified 18+	20:30	Ectoplasmic Baby Fat Provider
78	2002/12/13	Fri			Unclassified 18+	20:30	Purgatory
79	2002/12/13	Fri			Unclassified 18+	20:30	Luv Your Life: Silverchair
80	2002/12/13	Fri			Unclassified 18+	20:30	Big Can Can
81	2002/12/13	Fri			Unclassified 18+	19:00	Rippin Kittin: Golden Boy w/Miss Kittin
82	2002/12/13	Fri			Unclassified 18+	19:00	Tempovision: Etienne de Crecy
83	2002/12/13	Fri			Unclassified 18+	19:00	The Test: Chemical Brothers
84	2002/12/13	Fri			Unclassified 18+	19:00	Where's Your Head At: Basement Jaxx
