	index	Date	Day	IMDB	Place	Rating_x	Time	Title	Rating_y	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
0	0	2002-11-17	Sun 				16:30	Lost Highway		638.0	en	1997-01-15	15000000.0		134.0	['Drama', 'Thriller', 'Mystery']	David Lynch	
2	1	2002-11-17	Sun				14:00	Orphee		4558.0	fr	1950-09-29	0.0	0.0	95.0	['Drama', 'Fantasy', 'Romance']	Jean Cocteau	
3	2	2002-11-17	Sun			Unclassified 18+	14:00	The First Night (La Premiere Nuit)										
1	3	2002-11-19	Tue				18:30	Lost Highway		638.0	en	1997-01-15	15000000.0		134.0	['Drama', 'Thriller', 'Mystery']	David Lynch	
4	4	2002-11-24	Sun			M	16:30	2007: A Space Odissey										
6	5	2002-11-24	Sun			Unclassified 18+	14:00	Spacy, 1980-81										
8	6	2002-11-24	Sun			Unclassified 18+	14:00	The man who could not see far enough		328727.0	en		0.0	0.0	32.0	['Documentary']	Peter Rose	
10	7	2002-11-24	Sun			Unclassified 18+	14:00	Wormholes										
12	8	2002-11-24	Sun			Unclassified 18+	14:00	A Sprint Down Fifty Flights										
5	9	2002-11-26	Tue			M	18:30	2007: A Space Odissey										
14	10	2002-12-01	Sun 			MA	13:00	Tadpole		39141.0	en	2002-11-01	150000.0	2891288.0	78.0	['Comedy', 'Drama', 'Romance']	Gary Winick	
15	11	2002-12-01	Sun			Unclassified 18+	16:30	Walkabout		36040.0	en	1971-07-01	0.0	0.0	95.0	['Adventure', 'Drama']	Nicolas Roeg	
19	12	2002-12-01	Sun			Unclassified 18+	14:00	The Pier (La Jetee)										
21	13	2002-12-01	Sun			Unclassified 18+	14:00	Lovely		122783.0	en	2012-03-30	0.0	0.0	148.0	[]	Jaya B	
23	14	2002-12-01	Sun			Unclassified 18+	14:00	Alone: Life Wastes Andy Hardy		93468.0	en	1998-01-01	0.0	0.0	15.0	['Drama', 'Music']	Martin Arnold	
25	15	2002-12-01	Sun			Unclassified 18+	14:00	The journey		76714.0	en	1959-02-19	0.0	0.0	126.0	['Drama', 'Romance']		
27	16	2002-12-01	Sun			Unclassified 18+	14:00	WWMC										
29	17	2002-12-01	Sun			Unclassified 18+	14:00	A Trip to the Moon (le voyage dans la lune)										
16	18	2002-12-03	Tue			Unclassified 18+	18:30	Walkabout		36040.0	en	1971-07-01	0.0	0.0	95.0	['Adventure', 'Drama']	Nicolas Roeg	
31	19	2002-12-04	Wed				19:00	Continent to Continent 		269028.0	zh	1971-01-01	0.0		98.0	['Action']	Ting Wu Hsiung	
32	20	2002-12-05	Thu				19:45	Russian Ark		16646.0	ru	2002-05-22	0.0		99.0	['Mystery', 'Drama', 'Fantasy', 'History']	Alexander Sokurov	
36	21	2002-12-05	Tue				19:30	Raw Nerve		115201.0	en	1991-06-28	0.0	0.0	91.0	['Action', 'Thriller']	David A. Prior	
37	22	2002-12-06	Fri				21:00	The Lady and the Duke		2894.0	fr	2001-09-07	0.0	0.0	129.0	['War', 'Drama', 'History']	Éric Rohmer	
33	23	2002-12-06	Fri				19:00	Russian Ark		16646.0	ru	2002-05-22	0.0		99.0	['Mystery', 'Drama', 'Fantasy', 'History']	Alexander Sokurov	
38	24	2002-12-07	Sat				21:00	The Lady and the Duke		2894.0	fr	2001-09-07	0.0	0.0	129.0	['War', 'Drama', 'History']	Éric Rohmer	
40	25	2002-12-07	Sat				19:00	The Gleaners and I		84026.0	en	2002-12-18	0.0	0.0	63.0	[]	Agnès Varda	
39	26	2002-12-08	Sun				21:00	The Lady and the Duke		2894.0	fr	2001-09-07	0.0	0.0	129.0	['War', 'Drama', 'History']	Éric Rohmer	
34	27	2002-12-08	Sun				19:00	Russian Ark		16646.0	ru	2002-05-22	0.0		99.0	['Mystery', 'Drama', 'Fantasy', 'History']	Alexander Sokurov	
43	28	2002-12-08	Sun			R	16:30	Under the Skin		97370.0	en	2014-03-14	13300000.0	5380251.0	108.0	['Thriller', 'Science Fiction', 'Drama']	Jonathan Glazer	
45	29	2002-12-08	Sun			Unclassified 18+	14:00	Cosmic Ray		132364.0	en	1962-01-01	0.0	0.0	4.0	['History']	Bruce Conner	
47	30	2002-12-08	Sun			Unclassified 18+	14:00	Outer Space		110650.0	en	1999-01-01	0.0	0.0	10.0	['Horror']	Peter Tscherkassky	
49	31	2002-12-08	Sun			Unclassified 18+	14:00	Free radicals		48598.0	de	2003-01-01	0.0	0.0	120.0	['Comedy', 'Drama', 'Romance']	Barbara Albert	
51	32	2002-12-08	Sun			Unclassified 18+	14:00	Powers of ten		53223.0	en	1977-01-01	0.0	0.0	9.0	['Documentary']	Ray Eames	
53	33	2002-12-08	Sun			Unclassified 18+	14:00	Teenage Babylon		206309.0	en		0.0	0.0	14.0	['Music', 'Drama']	Graeme Wood	
55	34	2002-12-08	Sun			Unclassified 18+	14:00	4 Vertigo		354269.0	en	2000-08-13	0.0	0.0	9.0	[]	Les LeVeque	
57	35	2002-12-08	Sun			Unclassified 18+	14:00	Cinema		463415.0	ka	1977-06-25	0.0	0.0	0.0	[]	Liana Eliava	
44	36	2002-12-10	Tue			R	18:30	Under the Skin		97370.0	en	2014-03-14	13300000.0	5380251.0	108.0	['Thriller', 'Science Fiction', 'Drama']	Jonathan Glazer	
59	37	2002-12-11	Wed				19:00	Eastern Front										
60	38	2002-12-12	Sun			M	16:30	Dark City		2666.0	en	1998-02-27	27000000.0	27200316.0	100.0	['Mystery', 'Science Fiction']	Alex Proyas	
63	39	2002-12-12	Thu			Unclassified 18+	20:30	Karma:120 Techniques										
65	40	2002-12-12	Thu			Unclassified 18+	20:30	Amateur Developer's Handbook										
67	41	2002-12-12	Thu			Unclassified 18+	20:30	Curve		347754.0	en	2015-08-31	0.0	0.0	86.0	['Horror', 'Thriller']	Iain Softley	
69	42	2002-12-12	Thu			Unclassified 18+	20:30	World Watch/SBS ID										
71	43	2002-12-12	Thu			Unclassified 18+	20:30	Buckethead		188467.0	en		0.0	0.0	90.0	['Music']		
73	44	2002-12-12	Thu			Unclassified 18+	20:30	The Buoy Archives : Meditation										
75	45	2002-12-12	Thu			Unclassified 18+	20:30	Breaking it Slowly: George										
77	46	2002-12-12	Thu			Unclassified 18+	20:30	You and Me		146428.0	en	1971-10-25	0.0	0.0		[]	Larisa Shepitko	
79	47	2002-12-12	Thu			Unclassified 18+	20:30	Broken		109584.0	en	2012-08-22	0.0	0.0	91.0	['Drama']	Rufus Norris	
81	48	2002-12-12	Thu			Unclassified 18+	20:30	The Buoy Archives 11: Favourites										
83	49	2002-12-12	Thu			Unclassified 18+	20:30	Time Slice										
85	50	2002-12-12	Thu			Unclassified 18+	20:30	Dad's Clock										
87	51	2002-12-12	Thu			Unclassified 18+	20:30	Ectoplasmic Baby Fat Provider										
89	52	2002-12-12	Thu			Unclassified 18+	20:30	Purgatory		23356.0	en	1999-01-10	0.0	0.0	94.0	['Fantasy', 'Action', 'Western', 'Science Fiction']	Uli Edel	
91	53	2002-12-12	Thu			Unclassified 18+	20:30	Luv Your Life: Silverchair										
93	54	2002-12-12	Thu			Unclassified 18+	20:30	Big Can Can		193346.0	en	2013-07-03		0.0	100.0	['Documentary']	Olivia Mori	
95	55	2002-12-12	Thu			Unclassified 18+	19:00	Windows		83857.0	en	1980-01-18	0.0	0.0	96.0	['Horror', 'Drama', 'Thriller']	Gordon Willis	
