	index	Day	Date	Time	Place	Title	Rating	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
0	0	Sun 	2002/11/17	16:30		Lost Highway		638.0	en	1997-01-15	15000000.0		134.0	['Drama', 'Thriller', 'Mystery']	David Lynch	
1	1	Sun	2002/11/17	14:00		Orphee		4558.0	fr	1950-09-29	0.0	0.0	95.0	['Drama', 'Fantasy', 'Romance']	Jean Cocteau	
2	2	Sun	2002/11/17	14:00		The First Night (La Premiere Nuit)										
3	4	Sun	2002/11/24	16:30		2007: A Space Odissey										
4	5	Sun	2002/11/24	14:00		Spacy, 1980-81										
5	6	Sun	2002/11/24	14:00		The man who could not see far enough		328727.0	en		0.0	0.0	32.0	['Documentary']	Peter Rose	
6	7	Sun	2002/11/24	14:00		Wormholes										
7	8	Sun	2002/11/24	14:00		A Sprint Down Fifty Flights										
8	10	Sun 	2002/12/01	13:00		Tadpole		39141.0	en	2002-11-01	150000.0	2891288.0	78.0	['Comedy', 'Drama', 'Romance']	Gary Winick	
9	11	Sun	2002/12/01	16:30		Walkabout		36040.0	en	1971-07-01	0.0	0.0	95.0	['Adventure', 'Drama']	Nicolas Roeg	
10	12	Sun	2002/12/01	14:00		The Pier (La Jetee)										
11	13	Sun	2002/12/01	14:00		Lovely		122783.0	en	2012-03-30	0.0	0.0	148.0	[]	Jaya B	
12	14	Sun	2002/12/01	14:00		Alone: Life Wastes Andy Hardy		93468.0	en	1998-01-01	0.0	0.0	15.0	['Drama', 'Music']	Martin Arnold	
13	15	Sun	2002/12/01	14:00		The journey		76714.0	en	1959-02-19	0.0	0.0	126.0	['Drama', 'Romance']		
14	16	Sun	2002/12/01	14:00		WWMC										
15	17	Sun	2002/12/01	14:00		A Trip to the Moon (le voyage dans la lune)										
16	19	Wed	2002/12/04	19:00		Continent to Continent 		269028.0	zh	1971-01-01	0.0		98.0	['Action']	Ting Wu Hsiung	
17	20	Thu	2002/12/05	19:45		Russian Ark		16646.0	ru	2002-05-22	0.0		99.0	['Mystery', 'Drama', 'Fantasy', 'History']	Alexander Sokurov	
18	21	Tue	2002/12/05	19:30		Raw Nerve		115201.0	en	1991-06-28	0.0	0.0	91.0	['Action', 'Thriller']	David A. Prior	
19	22	Fri	2002/12/06	21:00		The Lady and the Duke		2894.0	fr	2001-09-07	0.0	0.0	129.0	['War', 'Drama', 'History']	Éric Rohmer	
20	25	Sat	2002/12/07	19:00		The Gleaners and I		84026.0	en	2002-12-18	0.0	0.0	63.0	[]	Agnès Varda	
21	28	Sun	2002/12/08	16:30		Under the Skin		97370.0	en	2014-03-14	13300000.0	5380251.0	108.0	['Thriller', 'Science Fiction', 'Drama']	Jonathan Glazer	
22	29	Sun	2002/12/08	14:00		Cosmic Ray		132364.0	en	1962-01-01	0.0	0.0	4.0	['History']	Bruce Conner	
23	30	Sun	2002/12/08	14:00		Outer Space		110650.0	en	1999-01-01	0.0	0.0	10.0	['Horror']	Peter Tscherkassky	
